DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CH,2012,5.3,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CH,2013,5.9,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CH,2014,5.8,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CH,2015,5.7,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CH,2016,5.8,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CH,2017,5.4,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CH,2018,5.0,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CH,2019,4.8,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CH,2020,5.2,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CY,1997,5.3,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CY,1998,5.3,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CY,1999,5.3,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CY,2000,5.1,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CY,2001,4.1,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CY,2002,3.1,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CY,2003,3.5,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CY,2004,4.4,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CY,2005,5.7,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CY,2006,4.3,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CY,2007,3.7,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CY,2008,3.8,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CY,2009,5.4,b
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CY,2010,6.9,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CY,2011,7.9,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CY,2012,9.5,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CY,2013,13.3,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CY,2014,13.7,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CY,2015,12.1,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CY,2016,12.2,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CY,2017,9.1,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CY,2018,6.8,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CY,2019,5.7,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CY,2020,4.5,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CZ,1998,6.2,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CZ,1999,7.8,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CZ,2000,7.0,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CZ,2001,6.5,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CZ,2002,6.1,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CZ,2003,6.4,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CZ,2004,6.1,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CZ,2005,5.5,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CZ,2006,5.4,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CZ,2007,2.9,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CZ,2008,2.6,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CZ,2009,4.4,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CZ,2010,4.7,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CZ,2011,4.3,b
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CZ,2012,4.9,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CZ,2013,5.1,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CZ,2014,4.5,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CZ,2015,3.9,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CZ,2016,3.0,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CZ,2017,2.3,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CZ,2018,1.9,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CZ,2019,1.6,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CZ,2020,2.0,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,1993,4.5,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,1994,4.7,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,1995,4.4,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,1996,4.4,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,DE,1997,4.5,e
