DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,BG,2005,2397,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,BG,2006,2684,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,BG,2007,3221,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,BG,2008,3621,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,BG,2009,3507,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,BG,2010,3677,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,BG,2011,3986,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,BG,2012,4250,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,BG,2013,4098,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,BG,2014,4247,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,BG,2015,4469,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,BG,2016,4671,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,BG,2017,5036,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,BG,2018,5435,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,BG,2019,5943,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,BG,2020,6048,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,BG,2021,7034,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,BG,2022,8938,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,1995,23587,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,1996,23688,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,1997,23141,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,1998,23890,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,1999,24668,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,2000,26013,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,2001,27423,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,2002,28162,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,2003,27451,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,2004,27535,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,2005,27950,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,2006,28135,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,2007,27659,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,2008,29330,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,2009,30879,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,2010,34246,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,2011,38445,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,2012,39477,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,2013,38929,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,2014,39378,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,2015,44801,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,CH,2016,44084,
